species,mother,weight mg
Segestria,1,0.489
Segestria,1,0.722
Segestria,1,0.522
Segestria,1,0.514
Segestria,1,0.495
Segestria,1,0.598
Segestria,1,0.705
Segestria,1,0.566
Segestria,1,0.513
Segestria,2,0.843
Segestria,2,0.563
Segestria,2,1.003
Segestria,2,0.802
Segestria,2,0.799
Segestria,2,0.727
Segestria,2,0.579
Segestria,2,0.936
Segestria,2,0.948
Segestria,2,0.721
Segestria,3,0.594
Segestria,3,0.899
Segestria,3,0.583
Segestria,3,0.694
Segestria,3,0.549
Segestria,3,0.582
Segestria,3,0.469
Segestria,3,0.491
Segestria,3,0.439
Segestria,3,0.428
Segestria,4,0.473
Segestria,4,0.483
Segestria,4,0.384
Segestria,4,0.248
Segestria,4,0.608
Segestria,4,0.68
Segestria,4,0.667
Segestria,4,0.987
Segestria,4,0.746
Segestria,4,0.889
Segestria,4,0.677
Segestria,4,0.657
Segestria,5,0.452
Segestria,5,0.435
Segestria,5,0.486
Segestria,5,0.398
Segestria,5,0.603
Segestria,5,0.468
Segestria,5,0.575
Segestria,5,0.716
Segestria,5,0.369
Segestria,5,0.454
Zoropsis,1,2.494
Zoropsis,1,2.464
Zoropsis,1,1.664
Zoropsis,1,2.491
Zoropsis,1,3.454
Zoropsis,1,2.067
Zoropsis,1,2.071
Zoropsis,1,2.727
Zoropsis,1,2.891
Zoropsis,1,2.659
Zoropsis,2,4.285
Zoropsis,2,4.64
Zoropsis,2,2.785
Zoropsis,2,2.952
Zoropsis,2,2.631
Zoropsis,2,2.956
Zoropsis,2,3.453
Zoropsis,2,7.264
Zoropsis,2,5.124
Zoropsis,2,2.019
Zoropsis,2,5.795
Zoropsis,2,5.187
Zoropsis,2,4.905
Zoropsis,2,3.15
Zoropsis,2,2.987
Zoropsis,2,2.909
Zoropsis,2,3.762
Zoropsis,3,2.027
Zoropsis,3,2.492
Zoropsis,3,2.628
Zoropsis,3,1.535
Zoropsis,3,2.219
Zoropsis,3,2.107
Zoropsis,3,1.946
Zoropsis,3,1.916
Zoropsis,3,1.44
Zoropsis,3,2.1
Zoropsis,4,4.388
Zoropsis,4,3.341
Zoropsis,4,2.481
Zoropsis,4,6.003
Zoropsis,4,3.736
Zoropsis,4,3.693
Zoropsis,4,1.716
Zoropsis,4,4.679
Zoropsis,4,4.611
Zoropsis,4,1.278
Zoropsis,4,3.094
Zoropsis,4,4.269
Zoropsis,4,3.309
Zoropsis,4,1.784
Zoropsis,4,4.51
Zoropsis,5,2.23
Zoropsis,5,2.649
Zoropsis,5,2.825
Zoropsis,5,2.117
Zoropsis,5,2.816
Zoropsis,5,2.476
Zoropsis,5,3.334
Zoropsis,5,3.217
Zoropsis,5,3.265
Zoropsis,5,2.834
Zoropsis,5,2.258
Zoropsis,5,3.291
Zoropsis,5,2.564
Zoropsis,5,2.919
Zoropsis,6,2.956
Zoropsis,6,3.453
Zoropsis,6,7.264
Zoropsis,6,5.124
Zoropsis,6,2.019
Zoropsis,6,5.795
Zoropsis,6,5.187
Zoropsis,6,4.905
Zoropsis,6,3.15
Zoropsis,6,2.987
Zoropsis,7,3.856
Zoropsis,7,3.679
Zoropsis,7,2.835
Zoropsis,7,3.086
Zoropsis,7,4.234
Zoropsis,7,4.546
Zoropsis,7,3.968
Zoropsis,7,3.16
Zoropsis,7,4.063
Zoropsis,7,4.225
Zoropsis,8,3.459
Zoropsis,8,3.594
Zoropsis,8,3.55
Zoropsis,8,2.324
Zoropsis,8,2.193
Zoropsis,8,3.639
Zoropsis,8,1.895
Zoropsis,8,1.987
Zoropsis,8,3.745
Zoropsis,8,2.717
Zoropsis,8,2.01
Zoropsis,8,2.119
Zoropsis,8,2.063
Zoropsis,8,1.81
Zoropsis,8,1.766
Zoropsis,8,1.891
Zoropsis,8,1.556
Zoropsis,8,1.971
Zoropsis,8,2.114
Zoropsis,8,1.931
Zoropsis,9,3.438
Zoropsis,9,1.679
Zoropsis,9,2.035
Zoropsis,9,2.174
Zoropsis,9,2.003
Zoropsis,9,2.221
Zoropsis,9,2.199
Zoropsis,9,2.05
Zoropsis,9,2.315
Zoropsis,9,2.244
Zoropsis,10,3.179
Zoropsis,10,1.956
Zoropsis,10,4.096
Zoropsis,10,1.58
Zoropsis,10,1.51
Zoropsis,10,3.112
Zoropsis,10,1.417
Zoropsis,10,2.707
Zoropsis,10,2.637
Zoropsis,10,1.611
Zoropsis,11,5.112
Zoropsis,11,4.477
Zoropsis,11,5.237
Zoropsis,11,5.912
Zoropsis,11,4.925
Zoropsis,11,3.344
Zoropsis,11,3.963
Zoropsis,11,6.02
Zoropsis,11,5.765
Zoropsis,11,4.808
Zoropsis,12,3.163
Zoropsis,12,4.448
Zoropsis,12,2.61
Zoropsis,12,3.553
Zoropsis,12,3.464
Zoropsis,12,2.487
Zoropsis,12,2.195
Zoropsis,12,2.237
Zoropsis,12,3.611
Zoropsis,12,3.041
