"species","mother","Weight_mg","Log_Weight"
"Segestria",1,0.489,-0.715392789507265
"Segestria",1,0.722,-0.325730140089311
"Segestria",1,0.522,-0.650087691099498
"Segestria",1,0.514,-0.665532013526972
"Segestria",1,0.495,-0.703197516413447
"Segestria",1,0.598,-0.514164525031505
"Segestria",1,0.705,-0.349557476169868
"Segestria",1,0.566,-0.569161200778954
"Segestria",1,0.513,-0.667479433811368
"Segestria",2,0.843,-0.170788320980282
"Segestria",2,0.563,-0.574475650842447
"Segestria",2,1.003,0.00299550897979837
"Segestria",2,0.802,-0.220646671115623
"Segestria",2,0.799,-0.224394333215862
"Segestria",2,0.727,-0.318828801448618
"Segestria",2,0.579,-0.546452801409142
"Segestria",2,0.936,-0.066139802504545
"Segestria",2,0.948,-0.0534007767271153
"Segestria",2,0.721,-0.327116141697188
"Segestria",3,0.594,-0.520875959619492
"Segestria",3,0.899,-0.106472244510517
"Segestria",3,0.583,-0.539568092631645
"Segestria",3,0.694,-0.365283318475333
"Segestria",3,0.549,-0.599656837472606
"Segestria",3,0.582,-0.541284831250699
"Segestria",3,0.469,-0.757152510535858
"Segestria",3,0.491,-0.711311151187616
"Segestria",3,0.439,-0.823255865906966
"Segestria",3,0.428,-0.84863208340034
"Segestria",4,0.473,-0.748659890490204
"Segestria",4,0.483,-0.727738625329564
"Segestria",4,0.384,-0.95711272639441
"Segestria",4,0.248,-1.39432653281715
"Segestria",4,0.608,-0.49758039701597
"Segestria",4,0.68,-0.385662480811985
"Segestria",4,0.667,-0.404965233066513
"Segestria",4,0.987,-0.0130852395486555
"Segestria",4,0.746,-0.293029678778376
"Segestria",4,0.889,-0.117658043468232
"Segestria",4,0.677,-0.390084006069862
"Segestria",4,0.657,-0.420071260497527
"Segestria",5,0.452,-0.794073099149906
"Segestria",5,0.435,-0.832409247893453
"Segestria",5,0.486,-0.721546655081643
"Segestria",5,0.398,-0.921303273697699
"Segestria",5,0.603,-0.505838082254952
"Segestria",5,0.468,-0.75928698306449
"Segestria",5,0.575,-0.553385238184787
"Segestria",5,0.716,-0.334075112021491
"Segestria",5,0.369,-0.99695863494161
"Segestria",5,0.454,-0.789658080940789
"Zoropsis",1,2.494,0.913887847257845
"Zoropsis",1,2.464,0.901786045671273
"Zoropsis",1,1.664,0.509224342399017
"Zoropsis",1,2.491,0.912684236280043
"Zoropsis",1,3.454,1.23953297972449
"Zoropsis",1,2.067,0.726098280699631
"Zoropsis",1,2.071,0.728031582413447
"Zoropsis",1,2.727,1.00320210386345
"Zoropsis",1,2.891,1.06160246303421
"Zoropsis",1,2.659,0.977950112260883
"Zoropsis",2,4.285,1.45512055204974
"Zoropsis",2,4.64,1.53471436623816
"Zoropsis",2,2.785,1.02424787337925
"Zoropsis",2,2.952,1.08248290673823
"Zoropsis",2,2.631,0.967364002058156
"Zoropsis",2,2.956,1.08383700308596
"Zoropsis",2,3.453,1.23924341840786
"Zoropsis",2,7.264,1.98293064129899
"Zoropsis",2,5.124,1.63393538403449
"Zoropsis",2,2.019,0.7026023393307
"Zoropsis",2,5.795,1.75699547679172
"Zoropsis",2,5.187,1.64615549536926
"Zoropsis",2,4.905,1.59025509301733
"Zoropsis",2,3.15,1.14740245283754
"Zoropsis",2,2.987,1.09426953923397
"Zoropsis",2,2.909,1.06780937951306
"Zoropsis",2,3.762,1.32495073087884
"Zoropsis",3,2.027,0.706556867469863
"Zoropsis",3,2.492,0.913085600925207
"Zoropsis",3,2.628,0.966223100622364
"Zoropsis",3,1.535,0.42853038103916
"Zoropsis",3,2.219,0.797056643950457
"Zoropsis",3,2.107,0.745265134822052
"Zoropsis",3,1.946,0.665775983763813
"Zoropsis",3,1.916,0.650239679548669
"Zoropsis",3,1.44,0.364643113587909
"Zoropsis",3,2.1,0.741937344729377
"Zoropsis",4,4.388,1.47887354241298
