species,mother,live offspring egg sac 1,dead eggs egg sac 1,ive offspring egg sac 2,dead eggs egg sac 2,live offspring egg sac 3,dead eggs egg sac 3,live offspring egg sac 4,dead eggs egg sac 4,total live offpring all egg sacs,total all spiderlings and eggs
Segestria,1,368,19,303,0,,,,,671,671
Segestria,2,416,0,25,230,,,,,441,230
Segestria,3,190,38,,,,,,,190,228
Segestria,4,396,0,195,0,,,,,591,591
Segestria,5,174,275,,,,,,,174,449
Segestria,6,374,0,,,,,,,374,374
Segestria,7,274,20,,,,,,,274,294
Segestria,8,288,45,,,,,,,288,333
Segestria,9,406,20,,,,,,,406,426
Segestria,10,77,292,,,,,,,77,369
Segestria,11,66,510,,,,,,,66,576
Zoropsis,1,57,24,58,8,47,8,,,162,202
Zoropsis,2,8,65,39,17,0,7,,,47,136
Zoropsis,3,0,85,76,2,59,0,,,135,222
Zoropsis,4,22,27,,,,,,,22,49
Zoropsis,5,61,25,106,0,0,62,,,167,254
Zoropsis,6,50,58,111,24,43,24,,,204,310
Zoropsis,7,105,0,96,8,92,7,51,0,344,359
Zoropsis,8,137,0,87,8,120,0,,,344,352
Zoropsis,9,11,103,0,76,4,25,,,15,219
Zoropsis,10,12,95,51,0,,,,,63,158
Zoropsis,11,15,89,54,4,52,3,15,8,136,240
Zoropsis,12,7,56,79,43,108,0,,,194,283
